"LAYING"	"SITTING"	"STANDING"	"WALKING"	"WALKING_DOWNSTAIRS"	"WALKING_UPSTAIRS"
"1"	-0.644406715588906	-0.649837823795993	-0.734524580975985	-0.239119511247006	-0.408258248658912	-0.653315134786019
"2"	-0.583833715374616	-0.72073892936587	-0.718998376989259	-0.155959886100548	-0.214775483779172	-0.620855930285284
"3"	-0.31145798750031	-0.422056851135105	-0.688299171401866	-0.463103414803306	-0.702651348397752	-0.70990689610577
"4"	-0.721981969101605	-0.737220746092538	-0.653979953018558	-0.510119929677174	-0.180330062379111	-0.0868470528728668
"5"	-0.406560201339851	-0.305343463641447	-0.277572628707523	-0.708549947765795	-0.732102697417466	-0.573166258001313
"6"	-0.684629201954407	-0.264345347289924	-0.16173435744	-0.726907216038323	-0.679603402134915	-0.26316558696951
"7"	-0.729248284733249	-0.41517771447096	-0.217291755276627	-0.728859921341801	-0.734892029310565	-0.314612292456453
"8"	-0.291263924799266	-0.19352225075155	-0.41355241799826	-0.672400799897746	-0.740439086631082	-0.742598659805739
"9"	-0.5655760831671	-0.371880353934233	-0.253928791570613	-0.597873633876017	-0.667494472245022	-0.715191116377777
"10"	-0.648622646311097	-0.717165297214994	-0.617645912630038	-0.578596334545675	-0.530857118402616	-0.431834493246113
"11"	-0.505632849261576	-0.74366444664741	-0.747413319161365	-0.389953092316451	-0.414265415046142	-0.58912621099846
"12"	-0.385392215588096	-0.283240219957914	-0.40908949697378	-0.648803980568936	-0.74203886699905	-0.73828566950722
"13"	-0.397888870304045	-0.737209805480767	-0.745330311220006	-0.250985690763835	-0.469233848531538	-0.632962913814243
"14"	-0.724556532015914	-0.722869748083586	-0.62238430038458	-0.592152523282435	-0.0571110367167478	-0.11872236606202
"15"	-0.738852261070718	-0.592850197933187	-0.255522715522147	-0.735878380911366	-0.644345956509931	-0.432013457121884
"16"	-0.696992517831949	-0.354974492677079	-0.232843455255459	-0.712684915069629	-0.493844007973972	-0.207487928329186
"17"	-0.715304654221334	-0.533934753321494	-0.273464106258287	-0.729902419376615	-0.314638418460975	-0.292862347156326
"18"	-0.755164722243356	-0.731676124545037	-0.656112999565809	-0.588579254290146	-0.278577919338317	-0.216449731478694
"19"	-0.463727412241014	-0.7218833750941	-0.539942518232438	-0.231339039242433	-0.332501748231835	-0.473750998113159
"20"	-0.709810846021529	-0.739267827562803	-0.682085532121146	-0.274827123451236	-0.181276661595069	-0.246198205522799
"21"	-0.425706465718508	-0.245565462664631	-0.479708415472157	-0.700392054894956	-0.638397562287808	-0.485316199827747
"22"	-0.726941151209436	-0.588210587835437	-0.248783215205762	-0.550318925522352	-0.116638555830759	-0.107986329711324
"23"	-0.410256162035244	-0.646508477300102	-0.644522101429441	-0.267251070893657	-0.583611739667225	-0.622554175350654
"24"	-0.670276022912075	-0.735420730936671	-0.665448194683139	-0.264704662669843	-0.256167935877466	-0.282777655575845
"25"	-0.57159281898462	-0.295967956892941	-0.338865114448669	-0.696383640103043	-0.492027403213002	-0.239474240906688
"26"	-0.405780057960457	-0.737364719767813	-0.604267109132583	-0.229958264602417	-0.478601697097127	-0.6769476665167
"27"	-0.275206361876728	-0.557557033261475	-0.743323217574074	-0.500301253477012	-0.747622262054215	-0.746665176745582
"28"	-0.279650656494331	-0.355702821167273	-0.680111206794586	-0.715676820079658	-0.745870321156686	-0.729579134684533
"29"	-0.0258472758626129	-0.43193351671351	-0.739012182085622	-0.293970151388913	-0.736860488993428	-0.741936703556891
"30"	-0.537888720541354	-0.725229906331745	-0.740545047414078	-0.204290365482925	-0.345613830144592	-0.725461347540638
